Datum od,ČOJ / PL,ČOJ celkem v (mil.) Kč,Vývoj ČOJ na PL za poslední 1 týden,Vývoj ČOJ na PL za poslední 1 měsíc,Vývoj ČOJ na PL za poslední 3 měsíce,Vývoj ČOJ na PL za posledních 6 měsíců,Vývoj ČOJ na PL za poslední 1 rok,Výkonnost od začátku roku,Výkonnost od zahájení činnosti
1. dubna 2025 0:00:00,5.3491,3 211 078 313.3000,0.08%,-1.57%,-,-,0.31%,-,-
28. března 2025 0:00:00,5.3447,3 204 773 870.1600,-1.75%,-1.65%,-,-,0.51%,-,-
21. března 2025 0:00:00,5.4401,3 248 141 246.9700,1.28%,-1.83%,-,-,3.34%,-,-
14. března 2025 0:00:00,5.3713,3 196 370 543.8300,0.89%,-4.44%,-,-,3.14%,-,-
7. března 2025 0:00:00,5.3239,3 157 604 865.1900,-2.03%,-4.44%,-,-,2.32%,-,-
28. února 2025 0:00:00,5.4344,3 209 043 839.6300,-1.94%,-3.55%,-,-,4.28%,-,-
21. února 2025 0:00:00,5.5417,3 246 789 456.1600,-1.41%,-1.61%,-,-,6.97%,-,-
14. února 2025 0:00:00,5.6209,3 273 912 362.6400,0.89%,0.14%,-,-,7.85%,-,-
7. února 2025 0:00:00,5.5712,3 218 042 622.1700,-1.13%,1.17%,-,-,7.91%,-,-
31. ledna 2025 0:00:00,5.6346,3 224 979 893.9900,0.04%,2.34%,-,-,9.25%,-,-
24. ledna 2025 0:00:00,5.6324,3 199 071 395.4900,0.34%,1.80%,-,-,9.28%,-,-
17. ledna 2025 0:00:00,5.6131,3 174 102 098.1700,1.93%,2.76%,-,-,10.23%,-,-
10. ledna 2025 0:00:00,5.5067,3 078 792 593.7700,-,-2.08%,-,-,6.25%,-,-
31. prosince 2024 0:00:00,5.5060,3 026 282 663.2100,-0.48%,-3.61%,-,-,5.47%,-,-
27. prosince 2024 0:00:00,5.5327,3 017 701 396.3500,1.29%,-3.15%,-,-,5.97%,-,-
19. prosince 2024 0:00:00,5.4625,2 967 242 586.3900,-2.86%,-4.06%,-,-,5.24%,-,-
13. prosince 2024 0:00:00,5.6235,3 019 257 793.2600,-2.74%,1.30%,-,-,9.11%,-,-
6. prosince 2024 0:00:00,5.7818,3 082 625 322.7900,1.21%,1.66%,-,-,14.60%,-,-
30. listopadu 2024 0:00:00,5.7124,3 016 444 827.2300,0.33%,1.86%,-,-,14.14%,-,-
22. listopadu 2024 0:00:00,5.6936,2 978 079 857.5700,2.56%,-0.19%,-,-,16.12%,-,-
